,names.traindata.,desc
54,ACAD_CRER_CNT,The number of academic careers a student is registered for within a term.
61,ACAD_LOAD_CD,A code representing a student's academic load based on units taken for the term and definition of full-time (12 units for undergrad in a full term).
63,ACAD_LVL_BOT_CD,"A code representing the student's academic level, based on number of credits completed toward a degree, at the beginning of the term."
64,ACAD_LVL_EOT_CD,A code representing the academic level of a student's progression toward a degree at the end of a term.
56,ACAD_MAJOR_CNT,The number of academic majors a student has declared within a term.
57,ACAD_MINOR_CNT,The number of academic minors a student has declared within a term.
55,ACAD_PGM_CNT,The number of academic programs a student is admitted to within a term.
83,ADMSSN_VTRN_IND,A code indicating whether a student self-identified as being a veteran during the admission process.
15,CLASS_ENRL_TOTAL_NBR,The total number of students enrolled in a class.
10,CLASS_HOME_IND_CD,A code indicating whether a class section in a combined class is the home or away section. This field will always contain the value HOME if the class section is not part of a combined section.
14,CLASS_HONORS_IND,A code indicating whether the class section is considered an honors class.
47,CLASS_MTG_FRI_IND,A code indicating whether a class is scheduled to meet on Fridays.
43,CLASS_MTG_MON_IND,A code indicating whether a class is scheduled to meet on Mondays.
48,CLASS_MTG_SAT_IND,A code indicating whether a class is scheduled to meet on Saturdays.
49,CLASS_MTG_SUN_IND,A code indicating whether a class is scheduled to meet on Sundays.
46,CLASS_MTG_THURS_IND,A code indicating whether a class is scheduled to meet on Thursdays.
44,CLASS_MTG_TUES_IND,A code indicating whether a class is scheduled to meet on Tuesdays.
45,CLASS_MTG_WED_IND,A code indicating whether a class is scheduled to meet on Wednesdays.
16,CMBN_CLASS_ENRL_TOTAL_NBR,"The total number of students enrolled in the class. For combined sections, it is the total number of students enrolled in all combined sections (home and non-home) of the class."
12,CMBN_SCTN_CROSS_LSTD_IND,A code indicating whether the basis for combining sections of a class is cross listed.
11,CMBN_SCTN_MEET_TGTHR_IND,A code indicating whether the basis for combining sections of a class is meet together.
13,CMBN_SCTN_UG_GRAD_IND,A code indicating whether the basis for combining sections of a class is undergraduate graduate.
62,CRER_LVL_CD,A code representing the level of a student's primary career.
9,CRSE_CMPNT_CD,"A code representing the type of course section. Courses can have more than one component. At course level, all the possible components of a course are identified, and are designated as optional or non-optional."
